Approved Symbol	Approved Name	Previous Symbols	Previous Name	Synonyms	Chromosome	Gene Family ID
SLC22A14	solute carrier family 22 member 14	ORCTL4	"organic cationic transporter-like 4, ""solute carrier family 22 (organic cation transporter), member 14"", ""solute carrier family 22, member 14"""	OCTL2	3p22.2	752
SLC22A15	solute carrier family 22 member 15		"solute carrier family 22 (organic cation transporter), member 15, ""solute carrier family 22, member 15"""	FLIPT1	1p13.1	752
SLC22A16	solute carrier family 22 member 16		"solute carrier family 22 (organic cation transporter), member 16, ""solute carrier family 22 (organic cation/carnitine transporter), member 16"""	FLIPT2, CT2, OKB1, OAT6	6q21	752
SLC22A17	solute carrier family 22 member 17		solute carrier family 22, member 17	BOCT, BOIT, NGALR	14q11.2	752
SLC22A18	solute carrier family 22 member 18	ORCTL2, BWSCR1A, IMPT1, SLC22A1L	"solute carrier family 22 (organic cation transporter), member 1-like, ""solute carrier family 22, member 18"""	BWR1A, TSSC5, ITM	11p15.4	752
SLC22A18AS	solute carrier family 22 member 18 antisense	BWSCR1B, ORCTL2S, SLC22A1LS	"solute carrier family 22 (organic cation transporter), member 1-like antisense, ""solute carrier family 22 (organic cation transporter), member 18 antisense"""	BWR1B, p27-BWR1B	11p15.4	
SLC22A23	solute carrier family 22 member 23	C6orf85	"chromosome 6 open reading frame 85, ""solute carrier family 22, member 23"""	FLJ22174	6p25.2	752
SLC22A24	solute carrier family 22 member 24		solute carrier family 22, member 24	MGC34821, NET46	11q12.3	752
SLC22A25	solute carrier family 22 member 25		"MGI:2442751, MGI:2385316, MGI:3042283, MGI:3645714, MGI:3605624, MGI:2442750, ""solute carrier family 22, member 25"""	UST6, HIMTP, MGC120420	11q12.3	752
SLC22A31	solute carrier family 22 member 31		solute carrier family 22, member 31		16q24.3	752
SLC23A1	solute carrier family 23 member 1	SLC23A2	"solute carrier family 23 (nucleobase transporters), member 2, ""solute carrier family 23 (ascorbic acid transporter), member 1"""	YSPL3, SVCT1	5q31.2	752
SLC23A2	solute carrier family 23 member 2	SLC23A1	"solute carrier family 23 (nucleobase transporters), member 1, ""solute carrier family 23 (ascorbic acid transporter), member 2"""	SVCT2, KIAA0238, YSPL2	20p13	752
SLC23A3	solute carrier family 23 member 3		solute carrier family 23, member 3	SVCT3, FLJ31168, Yspl1	2q35	752
SLC24A1	solute carrier family 24 member 1		solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	NCKX1, NCKX, RODX, KIAA0702, HsT17412, CSNB1D	15q22.31	752
SLC24A2	solute carrier family 24 member 2		solute carrier family 24 (sodium/potassium/calcium exchanger), member 2	NCKX2	9p22.1	752
SLC24A3	solute carrier family 24 member 3		solute carrier family 24 (sodium/potassium/calcium exchanger), member 3		20p11.23	752
SLC24A4	solute carrier family 24 member 4		solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	NCKX4	14q32.12	752
SLC24A5	solute carrier family 24 member 5		"solute carrier family 24, member 5, ""solute carrier family 24 (sodium/potassium/calcium exchanger), member 5"""	JSX, OCA6	15q21.1	752
SLC25A1	solute carrier family 25 member 1	SLC20A3	"solute carrier family 20 (mitochondrial citrate transporter), member 3, ""solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1"""	CTP	22q11.21	752
SLC25A2	solute carrier family 25 member 2		solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 2	ORNT2	5q31.3	752
SLC25A3	solute carrier family 25 member 3	PHC	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3		12q23.1	752
SLC25A4	solute carrier family 25 member 4	PEO3, PEO2, ANT1	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	T1	4q35.1	752
SLC25A5	solute carrier family 25 member 5	ANT2	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	T2, 2F1, T3	Xq24	752
SLC25A6	solute carrier family 25 member 6	ANT3	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	ANT3Y, MGC17525	Xp22.32 and Yp11.3	715|752
SLC25A10	solute carrier family 25 member 10	DIC	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10		17q25.3	752
SLC25A11	solute carrier family 25 member 11	SLC20A4	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11	OGC	17p13.2	752
SLC25A12	solute carrier family 25 member 12		"solute carrier family 25 (mitochondrial carrier, Aralar), member 12, ""solute carrier family 25 (aspartate/glutamate carrier), member 12"""	Aralar	2q31.1	752|863
SLC25A13	solute carrier family 25 member 13	CTLN2	"solute carrier family 25, member 13 (citrin), ""solute carrier family 25 (aspartate/glutamate carrier), member 13"""	CITRIN, ARALAR2	7q21.3	752|863
SLC25A14	solute carrier family 25 member 14		solute carrier family 25 (mitochondrial carrier, brain), member 14	BMCP1, UCP5	Xq26.1	752
SLC25A15	solute carrier family 25 member 15	ORNT1, HHH	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	ORC1, D13S327	13q14.11	752
SLC25A16	solute carrier family 25 member 16		solute carrier family 25 (mitochondrial carrier), member 16	GDA, D10S105E, HGT.1, ML7	10q21.3	752
SLC25A17	solute carrier family 25 member 17		"solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kD), member 17, ""solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17"""	PMP34	22q13.2	752
SLC25A18	solute carrier family 25 member 18		"solute carrier family 25 (mitochondrial carrier), member 18, ""solute carrier family 25 (glutamate carrier), member 18"""		22q11.21	752
SLC25A19	solute carrier family 25 member 19	MCPHA	"solute carrier family 25 (mitochondrial deoxynucleotide carrier), member 19, ""microcephaly, Amish"", ""solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19"""	DNC, MUP1, TPC	17q25.1	752
SLC25A20	solute carrier family 25 member 20	CACT	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	CAC	3p21.31	752
SLC25A21	solute carrier family 25 member 21		"solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21, ""solute carrier family 25 (mitochondrial oxoadipate carrier), member 21"""	ODC1, ODC	14q13.3	752
SLC25A22	solute carrier family 25 member 22		solute carrier family 25 (mitochondrial carrier: glutamate), member 22	GC1, FLJ13044, NET44, EIEE3	11p15.5	752
SLC25A23	solute carrier family 25 member 23		solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23	FLJ30339, MGC2615, APC2	19p13.3	752|863
SLC25A24	solute carrier family 25 member 24		solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24	DKFZp586G0123, APC1	1p13.3	752|863
SLC25A25	solute carrier family 25 member 25		solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25	KIAA1896, PCSCL, MCSC	9q34.11	752|863
SLC25A26	solute carrier family 25 member 26		"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 26, ""solute carrier family 25 (S-adenosylmethionine carrier), member 26"""		3p14.1	752
SLC25A27	solute carrier family 25 member 27		solute carrier family 25, member 27	UCP4, FLJ33552	6p12.3	752
SLC25A28	solute carrier family 25 member 28		"solute carrier family 25, member 28, ""solute carrier family 25 (mitochondrial iron transporter), member 28"""	MRS3/4, MRS4L	10q24.2	752
SLC25A29	solute carrier family 25 member 29	C14orf69	"chromosome 14 open reading frame 69, ""solute carrier family 25, member 29"", ""solute carrier family 25 (mitochondrial carnitine/acylcarnitine carrier), member 29"""	FLJ38975	14q32.2	752
SLC25A30	solute carrier family 25 member 30		solute carrier family 25, member 30		13q14.13	752
SLC25A31	solute carrier family 25 member 31		solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31	DKFZP434N1235, ANT4	4q28.1	752
SLC25A32	solute carrier family 25 member 32		"solute carrier family 25, member 32, ""solute carrier family 25 (mitochondrial folate carrier), member 32"""	MFTC	8q22.3	752
SLC25A33	solute carrier family 25 member 33		"solute carrier family 25, member 33, ""solute carrier family 25 (pyrimidine nucleotide carrier), member 33"""	MGC4399, BMSC-MCP, PNC1	1p36.22	752
SLC25A34	solute carrier family 25 member 34		solute carrier family 25, member 34	DKFZp781A10161	1p36.21	752
SLC25A35	solute carrier family 25 member 35		solute carrier family 25, member 35	FLJ40217	17p13.1	752
SLC25A36	solute carrier family 25 member 36		"solute carrier family 25, member 36, ""solute carrier family 25 (pyrimidine nucleotide carrier), member 36"""	FLJ10618, PNC2	3q23	752
SLC25A37	solute carrier family 25 member 37		"solute carrier family 25, member 37, ""solute carrier family 25 (mitochondrial iron transporter), member 37"""	MSCP, MFRN, MFRN1, HT015	8p21.2	752
SLC25A38	solute carrier family 25 member 38		solute carrier family 25, member 38	FLJ20551	3p22.1	752
SLC25A39	solute carrier family 25 member 39		solute carrier family 25, member 39	FLJ22407, CGI-69	17q21.31	752
SLC25A40	solute carrier family 25 member 40		solute carrier family 25, member 40	MCFP	7q21.12	752
SLC25A41	solute carrier family 25 member 41		solute carrier family 25, member 41	FLJ40442, MGC34725, APC4	19p13.3	752
SLC25A42	solute carrier family 25 member 42		solute carrier family 25, member 42	MGC26694	19p13.11	752
SLC25A43	solute carrier family 25 member 43		solute carrier family 25, member 43		Xq24	752
SLC25A44	solute carrier family 25 member 44		solute carrier family 25, member 44	FLJ90431, KIAA0446	1q22	752
SLC25A45	solute carrier family 25 member 45		solute carrier family 25, member 45		11q13.1	752
SLC25A46	solute carrier family 25 member 46		solute carrier family 25, member 46		5q22.1	752
SLC25A47	solute carrier family 25 member 47	C14orf68	"chromosome 14 open reading frame 68, ""solute carrier family 25, member 47"""		14q32.2	752
SLC25A48	solute carrier family 25 member 48		solute carrier family 25, member 48	FLJ44862, HDMCP	5q31.1	752
SLC25A51	solute carrier family 25 member 51	MCART1	"mitochondrial carrier triple repeat 1, ""solute carrier family 25, member 51"""	MGC14836, CG7943	9p13.2-p13.1	752
SLC25A52	solute carrier family 25 member 52	MCART2	"mitochondrial carrier triple repeat 2, ""solute carrier family 25, member 52"""		18q12.1	752
SLC25A53	solute carrier family 25 member 53	MCART6	"mitochondrial carrier triple repeat 6, ""solute carrier family 25, member 53"""		Xq22.2	752
SLC26A1	solute carrier family 26 member 1		"solute carrier family 26 (sulfate transporter), member 1, ""solute carrier family 26 (anion exchanger), member 1"""	SAT-1, EDM4	4p16.3	752
SLC26A2	solute carrier family 26 member 2	DTD	"solute carrier family 26 (sulfate transporter), member 2, ""solute carrier family 26 (anion exchanger), member 2"""	DTDST	5q32	752
SLC26A3	solute carrier family 26 member 3	DRA, CLD	"congenital chloride diarrhea, ""solute carrier family 26, member 3"", ""solute carrier family 26 (anion exchanger), member 3"""		7q22.3-q31.1	752
SLC26A4	solute carrier family 26 member 4	DFNB4	"solute carrier family 26, member 4, ""solute carrier family 26 (anion exchanger), member 4"""	PDS	7q22.3	752|1152
SLC26A5	solute carrier family 26 member 5	PRES	"prestin (motor protein), ""solute carrier family 26 (anion exchanger), member 5"""	DFNB61	7q22.1	752|1152
SLC26A6	solute carrier family 26 member 6		"solute carrier family 26, member 6, ""solute carrier family 26 (anion exchanger), member 6"""	DKFZp586E1422	3p21.31	752
SLC26A7	solute carrier family 26 member 7		"solute carrier family 26, member 7, ""solute carrier family 26 (anion exchanger), member 7"""	SUT2	8q21.3	752
SLC26A8	solute carrier family 26 member 8		"solute carrier family 26, member 8, ""solute carrier family 26 (anion exchanger), member 8"""		6p21.31	752
SLC26A9	solute carrier family 26 member 9		"solute carrier family 26, member 9, ""solute carrier family 26 (anion exchanger), member 9"""		1q32.1	752
SLC26A10	solute carrier family 26 member 10		solute carrier family 26, member 10		12q13.3	752
SLC26A11	solute carrier family 26 member 11		"solute carrier family 26, member 11, ""solute carrier family 26 (anion exchanger), member 11"""		17q25.3	752
SLC27A1	solute carrier family 27 member 1		solute carrier family 27 (fatty acid transporter), member 1	FATP1, FATP, MGC71751, FLJ00336, ACSVL5	19p13.11	40|752
SLC27A2	solute carrier family 27 member 2	FACVL1	solute carrier family 27 (fatty acid transporter), member 2	FATP2, hFACVL1, VLACS, VLCS, HsT17226, ACSVL1	15q21.2	40|752
SLC27A3	solute carrier family 27 member 3		solute carrier family 27 (fatty acid transporter), member 3	FATP3, MGC4365, ACSVL3	1q21.3	40|752
SLC27A4	solute carrier family 27 member 4		solute carrier family 27 (fatty acid transporter), member 4	FATP4, ACSVL4	9q34.11	40|752
SLC27A5	solute carrier family 27 member 5		solute carrier family 27 (fatty acid transporter), member 5	FATP5, VLACSR, VLCS-H2, VLCSH2, FACVL3, FLJ22987, ACSVL6, ACSB	19q13.43	40|752
SLC27A6	solute carrier family 27 member 6		solute carrier family 27 (fatty acid transporter), member 6	FATP6, VLCS-H1, FACVL2, ACSVL2	5q23.3	40|752
SLC28A1	solute carrier family 28 member 1		"solute carrier family 28 (sodium-coupled nucleoside transporter), member 1, ""solute carrier family 28 (concentrative nucleoside transporter), member 1"""	CNT1	15q25.3	752
SLC28A2	solute carrier family 28 member 2		"solute carrier family 28 (sodium-coupled nucleoside transporter), member 2, ""solute carrier family 28 (concentrative nucleoside transporter), member 2"""	CNT2, SPNT1, HCNT2, HsT17153	15q21.1	752
SLC28A3	solute carrier family 28 member 3		"solute carrier family 28 (sodium-coupled nucleoside transporter), member 3, ""solute carrier family 28 (concentrative nucleoside transporter), member 3"""	CNT3	9q21.32-q21.33	752
SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	ENT1	solute carrier family 29 (equilibrative nucleoside transporter), member 1		6p21.1	752|454
SLC29A2	solute carrier family 29 member 2	ENT2, HNP36	solute carrier family 29 (equilibrative nucleoside transporter), member 2	DER12	11q13.2	752
SLC29A3	solute carrier family 29 member 3		"solute carrier family 29 (nucleoside transporters), member 3, ""solute carrier family 29 (equilibrative nucleoside transporter), member 3"""	ENT3, FLJ11160	10q22.1	752
SLC29A4	solute carrier family 29 member 4		"solute carrier family 29 (nucleoside transporters), member 4, ""solute carrier family 29 (equilibrative nucleoside transporter), member 4"""	FLJ34923, ENT4	7p22.1	752
SLC30A1	solute carrier family 30 member 1	ZNT1	solute carrier family 30 (zinc transporter), member 1	ZRC1	1q32.3	752
SLC30A2	solute carrier family 30 member 2	ZNT2	solute carrier family 30 (zinc transporter), member 2		1p36.11	752
SLC30A3	solute carrier family 30 member 3	ZNT3	solute carrier family 30 (zinc transporter), member 3		2p23.3	752
SLC30A4	solute carrier family 30 member 4	ZNT4	solute carrier family 30 (zinc transporter), member 4		15q21.1	752
SLC30A5	solute carrier family 30 member 5		solute carrier family 30 (zinc transporter), member 5	ZTL1, ZnT-5, FLJ12496, FLJ12756, ZNT5, MGC5499, ZNTL1	5q13.1-q13.2	752
SLC30A6	solute carrier family 30 member 6		solute carrier family 30 (zinc transporter), member 6	FLJ31101, ZNT6	2p22.3	752
SLC30A7	solute carrier family 30 member 7		solute carrier family 30 (zinc transporter), member 7	ZnTL2, ZNT7	1p21.2	752
SLC30A8	solute carrier family 30 member 8		solute carrier family 30 (zinc transporter), member 8	ZnT-8, ZNT8	8q24.11	752
SLC30A9	solute carrier family 30 member 9	C4orf1	"chromosome 4 open reading frame 1, ""solute carrier family 30 (zinc transporter), member 9"""	HUEL, ZNT9, GAC63	4p13	752
SLC30A10	solute carrier family 30 member 10		solute carrier family 30, member 10	DKFZp547M236, ZnT-10, ZRC1, ZNT8	1q41	752
SLC31A1	solute carrier family 31 member 1	COPT1	solute carrier family 31 (copper transporter), member 1	hCTR1, CTR1	9q32	752
SLC31A2	solute carrier family 31 member 2	COPT2	solute carrier family 31 (copper transporter), member 2	hCTR2, CTR2	9q32	752
SLC32A1	solute carrier family 32 member 1	VIAAT	"vesicular inhibitory amino acid transporter, ""solute carrier family 32 (GABA vesicular transporter), member 1"""	VGAT, bA122O1.1	20q11.23	752
SLC33A1	solute carrier family 33 member 1	ACATN, SPG42	"acetyl-Coenzyme A transporter, ""spastic paraplegia 42 (autosomal dominant)"", ""solute carrier family 33 (acetyl-CoA transporter), member 1"""	AT-1, AT1	3q25.31	752
SLC34A1	solute carrier family 34 member 1	NPT2, SLC17A2	"solute carrier family 34 (sodium phosphate), member 1, ""solute carrier family 34 (type II sodium/phosphate cotransporter), member 1"""	NAPI-3, NPTIIa, SLC11	5q35.3	752
SLC34A2	solute carrier family 34 member 2		"solute carrier family 34 (sodium phosphate), member 2, ""solute carrier family 34 (type II sodium/phosphate cotransporter), member 2"""	NAPI-3B	4p15.2	752
SLC34A3	solute carrier family 34 member 3		"solute carrier family 34 (sodium phosphate), member 3, ""solute carrier family 34 (type II sodium/phosphate cotransporter), member 3"""	NPTIIc, FLJ38680	9q34.3	752
SLC35A1	solute carrier family 35 member A1		"solute carrier family 35 (UDP-galactose transporter), member 1, ""solute carrier family 35 (CMP-sialic acid transporter), member A1"""	CMPST, hCST	6q15	752
SLC35A2	solute carrier family 35 member A2	UGALT	"solute carrier family 35 (UDP-galactose transporter), member 2, ""solute carrier family 35 (UDP-galactose transporter), member A2"""	UGAT, UGT, UGT1, UGT2, UGTL	Xp11.23	752
SLC35A3	solute carrier family 35 member A3		"solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3, ""solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3"""		1p21.2	752
SLC35A4	solute carrier family 35 member A4		solute carrier family 35, member A4		5q31.3	752
SLC35A5	solute carrier family 35 member A5		solute carrier family 35, member A5	FLJ20730	3q13.2	752
SLC35B1	solute carrier family 35 member B1		solute carrier family 35, member B1	UGTREL1	17q21.33	752
SLC35B2	solute carrier family 35 member B2		"solute carrier family 35, member B2, ""solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2"""	UGTrel4	6p21.1	752
SLC35B3	solute carrier family 35 member B3	C6orf196	"chromosome 6 open reading frame 196, ""solute carrier family 35, member B3"", ""solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B3"""	CGI-19, dJ453H5.1, PAPST2	6p24.3	752
SLC35B4	solute carrier family 35 member B4		"solute carrier family 35, member B4, ""solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4"""	FLJ14697, YEA4	7q33	752
SLC35C1	solute carrier family 35 member C1		"solute carrier family 35, member C1, ""solute carrier family 35 (GDP-fucose transporter), member C1"""	FUCT1, FLJ11320	11p11.2	752
SLC35C2	solute carrier family 35 member C2	C20orf5, OVCOV1	"ovarian cancer overexpressed 1, ""solute carrier family 35, member C2"", ""solute carrier family 35 (GDP-fucose transporter), member C2"""	CGI-15, bA394O2.1	20q13.12	752
SLC35D1	solute carrier family 35 member D1		"solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1, ""solute carrier family 35 (UDP-GlcA/UDP-GalNAc transporter), member D1"""	UGTREL7, KIAA0260	1p31.3	752
SLC35D2	solute carrier family 35 member D2		"solute carrier family 35, member D2, ""solute carrier family 35 (UDP-GlcNAc/UDP-glucose transporter), member D2"""	UGTrel8, SQV7L	9q22.32	752
SLC35D3	solute carrier family 35 member D3	FRCL1	solute carrier family 35, member D3		6q23.3	752
SLC35E1	solute carrier family 35 member E1		solute carrier family 35, member E1	FLJ14251	19p13.11	752
SLC35E2	solute carrier family 35 member E2		solute carrier family 35, member E2	KIAA0447	1p36.33	752
SLC35E2B	solute carrier family 35 member E2B		solute carrier family 35, member E2B		1p36.33	752
SLC35E3	solute carrier family 35 member E3		solute carrier family 35, member E3	BLOV1	12q15	752
SLC35E4	solute carrier family 35 member E4		solute carrier family 35, member E4		22q12.2	752
SLC35F1	solute carrier family 35 member F1	C6orf169	"chromosome 6 open reading frame 169, ""solute carrier family 35, member F1"""	dJ230I3.1	6q22.2-q22.31	752
SLC35F2	solute carrier family 35 member F2		solute carrier family 35, member F2	FLJ13018	11q22.3	752
SLC35F3	solute carrier family 35 member F3		solute carrier family 35, member F3	FLJ37712	1q42.2	752
SLC35F4	solute carrier family 35 member F4	C14orf36	"chromosome 14 open reading frame 36, ""solute carrier family 35, member F4"""	FLJ37712	14q22.3-q23.1	752
SLC35F5	solute carrier family 35 member F5		solute carrier family 35, member F5	FLJ22004	2q14.1	752
SLC35F6	solute carrier family 35 member F6	C2orf18	"chromosome 2 open reading frame 18, ""solute carrier family 35, member F6"""	FLJ20555, ANT2BP, TANGO9	2p23.3	
SLC35G1	solute carrier family 35 member G1	TMEM20	"transmembrane protein 20, ""solute carrier family 35, member G1"""	FLJ33990, C10orf60	10q23.33	752
SLC35G2	solute carrier family 35 member G2	TMEM22	"transmembrane protein 22, ""solute carrier family 35, member G2"""	MGC3295, DKFZp564K2464	3q22.3	752
SLC35G3	solute carrier family 35 member G3	TMEM21A, AMAC1	"transmembrane protein 21A, ""acyl-malonyl condensing enzyme 1"", ""solute carrier family 35, member G3"""	FLJ40154	17q12	752
SLC35G4	solute carrier family 35 member G4	AMAC1L1, SLC35G4P	"acyl-malonyl condensing enzyme 1-like 1, ""solute carrier family 35, member G4, pseudogene"", ""solute carrier family 35, member G4"""		18p11.21	752
SLC35G5	solute carrier family 35 member G5	AMAC, AMAC1L2	"acyl-malonyl condensing enzyme 1-like 2, ""solute carrier family 35, member G5"""		8p23.1	752
SLC35G6	solute carrier family 35 member G6	TMEM21B, AMAC1L3	"transmembrane protein 21B, ""acyl-malonyl condensing enzyme 1-like 3"", ""solute carrier family 35, member G6"""		17p13.1	752
SLC36A1	solute carrier family 36 member 1		solute carrier family 36 (proton/amino acid symporter), member 1	LYAAT-1, PAT1, TRAMD3	5q33.1	752
SLC36A2	solute carrier family 36 member 2		solute carrier family 36 (proton/amino acid symporter), member 2	PAT2, tramdorin, TRAMD1	5q33.1	752
SLC36A3	solute carrier family 36 member 3		solute carrier family 36, member 3	PAT3, TRAMD2, tramdorin2	5q33.1	752
SLC36A4	solute carrier family 36 member 4		solute carrier family 36 (proton/amino acid symporter), member 4	PAT4, FLJ38932	11q21	752
SLC37A1	solute carrier family 37 member 1		"solute carrier family 37 (glycerol-3-phosphate transporter), member 1, ""solute carrier family 37 (glucose-6-phosphate transporter), member 1"""		21q22.3	752
SLC37A2	solute carrier family 37 member 2		"solute carrier family 37 (glycerol-3-phosphate transporter), member 2, ""solute carrier family 37 (glucose-6-phosphate transporter), member 2"""	FLJ00171	11q24.2	752
SLC37A3	solute carrier family 37 member 3		solute carrier family 37, member 3	DKFZp761N0624	7q34	752
SLC37A4	solute carrier family 37 member 4	G6PT1, G6PT2, G6PT3	"glucose-6-phosphatase, transport (glucose-6-phosphate) protein 1, ""solute carrier family 37 (glucose-6-phosphate transporter), member 4"""	GSD1b, GSD1c, GSD1d	11q23.3	752
SLC38A1	solute carrier family 38 member 1		solute carrier family 38, member 1	ATA1, NAT2, SAT1	12q13.11	752
SLC38A2	solute carrier family 38 member 2		solute carrier family 38, member 2	SAT2, ATA2, KIAA1382, SNAT2	12q13.11	752
SLC38A3	solute carrier family 38 member 3		solute carrier family 38, member 3	G17, SN1	3p21.31	752
SLC38A4	solute carrier family 38 member 4		solute carrier family 38, member 4	PAAT, NAT3, ATA3	12q13.11	752
SLC38A5	solute carrier family 38 member 5		solute carrier family 38, member 5	SN2, JM24	Xp11.23	752
SLC38A6	solute carrier family 38 member 6		solute carrier family 38, member 6	NAT-1	14q23.1	752
SLC38A7	solute carrier family 38 member 7		solute carrier family 38, member 7	FLJ10815	16q21	752
SLC38A8	solute carrier family 38 member 8		solute carrier family 38, member 8		16q23.3	752
SLC38A9	solute carrier family 38 member 9		solute carrier family 38, member 9	FLJ90709	5q11.2	752
SLC38A10	solute carrier family 38 member 10		solute carrier family 38, member 10	MGC15523, PP1744	17q25.3	752
SLC38A11	solute carrier family 38 member 11		solute carrier family 38, member 11	FLJ39822, AVT2	2q24.3	752
SLC39A1	solute carrier family 39 member 1	ZIRTL	"zinc/iron regulated transporter-like, ""solute carrier family 39 (zinc transporter), member 1"""	ZIP1	1q21.3	752
SLC39A2	solute carrier family 39 member 2		solute carrier family 39 (zinc transporter), member 2	ZIP2	14q11.2	752
SLC39A3	solute carrier family 39 member 3		solute carrier family 39 (zinc transporter), member 3	ZIP3	19p13.3	752
SLC39A4	solute carrier family 39 member 4	AEZ	"acrodermatitis enteropathica, zinc-deficiency type, ""solute carrier family 39 (zinc transporter), member 4"""	ZIP4, AWMS2	8q24.3	752
SLC39A5	solute carrier family 39 member 5		"solute carrier family 39 (metal ion transporter), member 5, ""solute carrier family 39 (zinc transporter), member 5"""		12q13.3	752
SLC39A6	solute carrier family 39 member 6		"solute carrier family 39 (metal ion transporter), member 6, ""solute carrier family 39 (zinc transporter), member 6"""	LIV-1	18q12.2	752
SLC39A7	solute carrier family 39 member 7	HKE4	"HLA class II region expressed gene KE4, ""solute carrier family 39 (zinc transporter), member 7"""	H2-KE4, D6S2244E, KE4, RING5, ZIP7	6p21.32	752
SLC39A8	solute carrier family 39 member 8		"solute carrier family 39 (metal ion transporter), member 8, ""solute carrier family 39 (zinc transporter), member 8"""	BIGM103	4q24	752
SLC39A9	solute carrier family 39 member 9		solute carrier family 39, member 9	FLJ11274	14q24.1	752
SLC39A10	solute carrier family 39 member 10		"solute carrier family 39 (metal ion transporter), member 10, ""solute carrier family 39 (zinc transporter), member 10"""	KIAA1265, FLJ90515, DKFZp564L2123	2q32.3	752
SLC39A11	solute carrier family 39 member 11	C17orf26	"chromosome 17 open reading frame 26, ""solute carrier family 39, member 11"""		17q24.3-q25.1	752
SLC39A12	solute carrier family 39 member 12		"solute carrier family 39 (metal ion transporter), member 12, ""solute carrier family 39 (zinc transporter), member 12"""	FLJ30499	10p12.33	752
SLC39A13	solute carrier family 39 member 13		"solute carrier family 39 (metal ion transporter), member 13, ""solute carrier family 39 (zinc transporter), member 13"""	FLJ25785	11p11.2	752
SLC39A14	solute carrier family 39 member 14		"solute carrier family 39 (metal ion transporter), member 14, ""solute carrier family 39 (zinc transporter), member 14"""	KIAA0062, NET34, ZIP14	8p21.3	752
SLC40A1	solute carrier family 40 member 1	SLC11A3	"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 3, ""solute carrier family 40 (iron-regulated transporter), member 1"""	MTP1, IREG1, FPN1, HFE4	2q32.2	752
SLC41A1	solute carrier family 41 member 1		solute carrier family 41 (magnesium transporter), member 1	MgtE	1q32.1	752
SLC41A2	solute carrier family 41 member 2		"solute carrier family 41, member 2, ""solute carrier family 41 (magnesium transporter), member 2"""	DKFZP434K0427	12q23.3	752
SLC41A3	solute carrier family 41 member 3		solute carrier family 41, member 3	FLJ20473	3q21.2-q21.3	752
SLC43A1	solute carrier family 43 member 1	POV1	"prostate cancer overexpressed gene 1, ""solute carrier family 43 (amino acid system L transporter), member 1"""	R00504, PB39	11q12.1	752
SLC43A2	solute carrier family 43 member 2		solute carrier family 43 (amino acid system L transporter), member 2	MGC34680	17p13.3	752
SLC43A3	solute carrier family 43 member 3		solute carrier family 43, member 3	SEEEG-1, Eeg1, DKFZp762A227, FOAP-13, PRO1659	11q12.1	752
SLC44A1	solute carrier family 44 member 1	CDW92	"CDW92 antigen, ""solute carrier family 44 (choline transporter), member 1"""	CDw92, CTL1, CHTL1, CD92	9q31.1-q31.2	471|752
SLC44A2	solute carrier family 44 member 2		solute carrier family 44 (choline transporter), member 2	CTL2	19p13.2	752
SLC44A3	solute carrier family 44 member 3		"solute carrier family, member 3, ""solute carrier family 44, member 3"""	MGC45474, CTL3	1p21.3	752
SLC44A4	solute carrier family 44 member 4	C6orf29	"chromosome 6 open reading frame 29, ""solute carrier family 44, member 4"""	NG22, CTL4, FLJ14491, TPPT	6p21.33	752
SLC44A5	solute carrier family 44 member 5		solute carrier family 44, member 5	MGC34032, CTL5	1p31.1	752
SLC45A1	solute carrier family 45 member 1	DNB5	"deleted in neuroblastoma 5, ""solute carrier family 45, member 1"""		1p36.23	752
